NOMBRE PARCEL·LA;DISTÀNCIA AL CAMÍ;ESPÈCIE;ESTRAT;;;;
1;0;Pistacia lentisus;2;;;;
1;0;Quercus coccinera;4;;;;
1;0;Arbutus undo;1;;;;
1;0;Quercus saber;1;;;;
1;0;Hedera helix;3;;;;
1;0;Erica arborea;3;;;;
1;0;Cistus albidus;2;;;;
1;0;Quercus ilex;3;;;;
1;0;Quercus roubar;1;;;;
1;0;Doriycnium pentafilium ;1;;;;
1;0;Virburnum tinus;3;;;;
2;5;Pistacia lentisus;2;;;;
2;5;Quercus roubar;2;;;;
2;5;Quercus coccinera;7;;;;
2;5;Quercus ilex;4;;;;
2;5;Hedera helix;3;;;;
2;5;Virburnum tinus;3;;;;
2;5;Arbutus undo;3;;;;
2;5;Quercus saber ;1;;;;
2;5;Erica arborea;2;;;;
2;5;Quercus cerrioides;4;;;;
2;5;Cistus salviifolius;5;;;;
2;5;Erica arborea;5;;;;
3;10;Quercus ilex;10;;;;
3;10;Viburnum tinus;3;;;;
3;10;Quercus suber;2;;;;
3;10;Pistacia lentiscus;4;;;;
3;10;Hedera helix;5;;;;
3;10;Simlex aspera;1;;;;
3;10;Rubia peregrina;5;;;;
3;10;Lonicera implexa;1;;;;
3;10;Arbutus unedo;3;;;;
4;15;Quercus roubar;2;;;;
4;15;Quercus coccinera;4;;;;
4;15;Eica arborea;3;;;;
4;15;Ruscus aculeatus;1;;;;
4;15;Rubia peregrina;1;;;;
4;15;Cistus salviifolius;3;;;;
4;15; Pistacia lentisus;1;;;;
4;15;Quercus ilex;3;;;;
4;15;Virburnum tinus;3;;;;
4;15;Lonicera implexa;1;;;;
5;20;Erica arborea;7;;;;
5;20;Quercus roubar;3;;;;
5;20;Quercus ilex;3;;;;
5;20;Virburnum tinus;4;;;;
5;20;Hedera helix;7;;;;
5;20;Pistacia lentisus;1;;;;
5;20;Rubia peregrina;1;;;;
6;25;Quercus coccinera;3;;;;
6;25;Quercus ilex;2;;;;
6;25;Cistus albidus;3;;;;
6;25;Eica arborea;2;;;;
6;25;Virburnum tinus;3;;;;
6;25;Hedera helix;3;;;;
6;25;Quercus roubar;1;;;;