NOMBRE PARCEL·LA;DISTÀNCIA AL CAMÍ;ESPÈCIE;ESTRAT;;;;;
1;5;Listus salvipolius;3;;;;;
1;5;Quercus cerrioides;3;;;;;
1;5;Hedera helix;3;;;;;
1;5;Quercus ilex;8;;;;;
1;5;Pistacia lentiscus;2;;;;;
1;5;Cistus albidus;1;;;;;
1;5;Rubia peregrina;2;;;;;
1;5;Quercus suber;1;;;;;
1;5;Ulex sp;1;;;;;
1;5;Viburnum tinus;6;;;;;
1;5;Erica arborea;6;;;;;
1;5;Galium sp;1;;;;;
1;5;Arbutus unedo;1;;;;;
2;10;Quercus cerrioides;5;;;;;
2;10;Cistus salviifolius;4;;;;;
2;10;Erica arborea;10;;;;;
2;10;Quercus ilex;12;;;;;
2;10;Viburnum tinus;3;;;;;
2;10;Quercus suber;2;;;;;
2;10;Pistacia lentiscus;5;;;;;
2;10;Hedera helix;6;;;;;
2;10;Rubia peregrina;4;;;;;
2;10;Arbutus unedo;2;;;;;
2;10;Smilax aspera;1;;;;;
2;10;Lonicera implexa;1;;;;;
3;15;Quercus suber;4;;;;;
3;15;Quercus ilex;12;;;;;
3;15;Pistacia lentiscus;;;;;;
3;15;Hedera helix;2;;;;;
3;15;Erica arborea;6;;;;;
3;15;Rubia peregrina;2;;;;;
3;15;Viburnum tinus;3;;;;;
3;15;Quercus cerrioides;5;;;;;
4;20;Erica arborea;5;;;;;
4;20;Quercus cerrioides;3;;;;;
4;20;Viburnum tinus;3;;;;;
4;20;Hedera helix;1;;;;;
4;20;Rubia peregrina;4;;;;;
4;20;Quercus ilex;14;;;;;
4;20;Cistus albidus;1;;;;;
4;20;Ruscus aculeatus;1;;;;;
5;25;Hedera helix;11;;;;;
5;25;Erica arborea;8;;;;;
5;25;Rubia peregrina;2;;;;;
5;25;Quercus ilex;21;;;;;
5;25;Quercus cerrioides;7;;;;;
5;25;Pistacia lentiscus;1;;;;;
5;25;Arbutus unedo;2;;;;;
5;25;Cistus salviifolius;;;;;;
6;30;Quercus ilex;2;;;;;
6;30;Estepa blanca;3;;;;;
6;30;Erica arborea;2;;;;;
6;30;Viburnum tinus;3;;;;;
6;30;Hedera helix;3;;;;;
6;30;Quercus cerrioides;1;;;;;
6;30;Quercus coccifera;11;;;;;